# This file contains a set of game items.
# You must set 256 different items.
# ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
# Price;GraphicsId;ColorId;Quality;BonusId;AbilityIds;Weapon;Armlet;Helmet;Armor;Accessory;Item;Gem;Usable;Order;Zidane;Vivi;Garnet;Steiner;Freya;Quina;Eiko;Amarant;Cinna;Marcus;Blank;Beatrix;
# UInt16;UInt8;UInt8;UInt8;UInt8;UInt8[];UInt8;Bit;Bit;Bit;Bit;Bit;Bit;Bit;UInt8;Bit;Bit;Bit;Bit;Bit;Bit;Bit;Bit;Bit;Bit;Bit;Bit;
# ----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
40000;2;0;15;0;101, 0, 0;1;0;0;0;0;0;0;0;36;1;0;0;0;0;0;0;0;0;0;0;0;# 015 - Ultima Weapon
330;3;0;1;0;211, 0, 0;1;0;0;0;0;0;0;0;37;0;0;0;1;0;0;0;0;0;1;1;0;# 016 - Broadsword
660;3;0;2;0;142, 0, 0;1;0;0;0;0;0;0;0;38;0;0;0;1;0;0;0;0;0;1;1;0;# 017 - Iron Sword
1300;3;0;3;0;145, 0, 0;1;0;0;0;0;0;0;0;39;0;0;0;1;0;0;0;0;0;1;1;0;# 018 - Mythril Sword
1900;3;13;4;0;141, 0, 0;1;0;0;0;0;0;0;0;40;0;0;0;1;0;0;0;0;0;1;1;0;# 019 - Blood Sword
3780;3;5;5;0;146, 0, 0;1;0;0;0;0;0;0;0;41;0;0;0;1;0;0;0;0;0;1;1;0;# 020 - Ice Brand
4000;3;11;6;0;148, 0, 0;1;0;0;0;0;0;0;0;42;0;0;0;1;0;0;0;0;0;1;1;0;# 021 - Coral Sword
4700;3;0;7;0;144, 0, 0;1;0;0;0;0;0;0;0;43;0;0;0;1;0;0;0;0;0;1;1;0;# 022 - Diamond Sword
5190;3;9;8;0;147, 0, 0;1;0;0;0;0;0;0;0;44;0;0;0;1;0;0;0;0;0;1;1;0;# 023 - Flame Saber
8900;3;3;9;0;143, 0, 0;1;0;0;0;0;0;0;0;45;0;0;0;1;0;0;0;0;0;1;1;0;# 024 - Rune Blade
9340;3;0;10;151;149, 0, 0;1;0;0;0;0;0;0;0;46;0;0;0;1;0;0;0;0;0;1;1;0;# 025 - Defender
2;4;0;1;152;0, 0, 0;1;0;0;0;0;0;0;0;47;0;0;0;0;0;0;0;0;0;0;0;1;# 026 - Save the Queen
14000;4;0;12;0;150, 0, 0;1;0;0;0;0;0;0;0;48;0;0;0;1;0;0;0;0;0;0;0;0;# 027 - Ultima Sword
19000;4;3;13;0;151, 0, 0;1;0;0;0;0;0;0;0;49;0;0;0;1;0;0;0;0;0;0;0;0;# 028 - Excalibur
29000;4;0;14;0;152, 149, 0;1;0;0;0;0;0;0;0;50;0;0;0;1;0;0;0;0;0;0;0;0;# 029 - Ragnarok
39000;4;3;15;0;142, 151, 150;1;0;0;0;0;0;0;0;51;0;0;0;1;0;0;0;0;0;0;0;0;# 030 - Excalibur II
880;5;0;1;0;209, 0, 0;1;0;0;0;0;0;0;0;52;0;0;0;0;1;0;0;0;0;0;0;0;# 031 - Javelin
1100;5;0;2;0;118, 0, 0;1;0;0;0;0;0;0;0;53;0;0;0;0;1;0;0;0;0;0;0;0;# 032 - Mythril Spear
1600;5;0;3;0;117, 227, 0;1;0;0;0;0;0;0;0;54;0;0;0;0;1;0;0;0;0;0;0;0;# 033 - Partisan
2430;5;5;4;0;120, 0, 0;1;0;0;0;0;0;0;0;55;0;0;0;0;1;0;0;0;0;0;0;0;# 034 - Ice Lance
3580;5;0;5;0;121, 0, 0;1;0;0;0;0;0;0;0;56;0;0;0;0;1;0;0;0;0;0;0;0;# 035 - Trident
4700;5;6;6;0;122, 0, 0;1;0;0;0;0;0;0;0;57;0;0;0;0;1;0;0;0;0;0;0;0;# 036 - Heavy Lance
6000;5;12;7;0;123, 234, 0;1;0;0;0;0;0;0;0;58;0;0;0;0;1;0;0;0;0;0;0;0;# 037 - Obelisk
11000;5;3;8;0;124, 118, 0;1;0;0;0;0;0;0;0;59;0;0;0;0;1;0;0;0;0;0;0;0;# 038 - Holy Lance
15000;5;0;9;0;124, 123, 120;1;0;0;0;0;0;0;0;60;0;0;0;0;1;0;0;0;0;0;0;0;# 039 - Kain’s Lance
23500;5;0;10;0;119, 0, 0;1;0;0;0;0;0;0;0;61;0;0;0;0;1;0;0;0;0;0;0;0;# 040 - Dragon’s Hair
4000;6;0;1;0;125, 228, 0;1;0;0;0;0;0;0;0;62;0;0;0;0;0;0;0;1;0;0;0;0;# 041 - Cat’s Claws
5000;6;13;2;0;126, 228, 0;1;0;0;0;0;0;0;0;63;0;0;0;0;0;0;0;1;0;0;0;0;# 042 - Poison Knuckles
6500;6;0;3;0;129, 228, 0;1;0;0;0;0;0;0;0;64;0;0;0;0;0;0;0;1;0;0;0;0;# 043 - Mythril Claws
8000;6;0;4;0;128, 228, 0;1;0;0;0;0;0;0;0;65;0;0;0;0;0;0;0;1;0;0;0;0;# 044 - Scissor Fangs
10360;6;0;5;0;127, 228, 0;1;0;0;0;0;0;0;0;66;0;0;0;0;0;0;0;1;0;0;0;0;# 045 - Dragon’s Claws
13500;6;0;6;0;130, 228, 0;1;0;0;0;0;0;0;0;67;0;0;0;0;0;0;0;1;0;0;0;0;# 046 - Tiger Fangs
16000;6;6;7;0;131, 228, 0;1;0;0;0;0;0;0;0;68;0;0;0;0;0;0;0;1;0;0;0;0;# 047 - Avenger
18000;6;0;8;0;132, 129, 228;1;0;0;0;0;0;0;0;69;0;0;0;0;0;0;0;1;0;0;0;0;# 048 - Kaiser Knuckles
21500;6;0;9;0;128, 127, 228;1;0;0;0;0;0;0;0;70;0;0;0;0;0;0;0;1;0;0;0;0;# 049 - Duel Claws
28800;6;3;10;0;126, 131, 130;1;0;0;0;0;0;0;0;71;0;0;0;0;0;0;0;1;0;0;0;0;# 050 - Rune Claws
400;7;0;2;0;7, 8, 0;1;0;0;0;0;0;0;0;72;0;0;1;0;0;0;1;0;0;0;0;0;# 051 - Air Racket
750;7;0;5;0;19, 9, 11;1;0;0;0;0;0;0;0;73;0;0;1;0;0;0;1;0;0;0;0;0;# 052 - Multina Racket
1350;7;0;8;153;18, 15, 1;1;0;0;0;0;0;0;0;74;0;0;1;0;0;0;1;0;0;0;0;0;# 053 - Magic Racket
2250;7;0;11;0;16, 11, 12;1;0;0;0;0;0;0;0;75;0;0;1;0;0;0;1;0;0;0;0;0;# 054 - Mythril Racket
8000;7;0;17;0;14, 22, 0;1;0;0;0;0;0;0;0;76;0;0;1;0;0;0;1;0;0;0;0;0;# 055 - Priest’s Racket
5800;7;0;19;0;21, 0, 0;1;0;0;0;0;0;0;0;77;0;0;1;0;0;0;1;0;0;0;0;0;# 056 - Tiger Racket
260;8;0;1;0;1, 8, 12;1;0;0;0;0;0;0;0;78;0;0;1;0;0;0;0;0;0;0;0;0;# 057 - Rod
560;8;0;3;0;5, 14, 11;1;0;0;0;0;0;0;0;79;0;0;1;0;0;0;0;0;0;0;0;0;# 058 - Mythril Rod
760;8;12;4;154;236, 16, 20;1;0;0;0;0;0;0;0;80;0;0;1;0;0;0;0;0;0;0;0;0;# 059 - Stardust Rod
1770;8;4;9;0;216, 2, 5;1;0;0;0;0;0;0;0;81;0;0;1;0;0;0;0;0;0;0;0;0;# 060 - Healing Rod
3180;8;3;12;0;15, 17, 14;1;0;0;0;0;0;0;0;82;0;0;1;0;0;0;0;0;0;0;0;0;# 061 - Asura’s Rod
3990;8;0;15;0;3, 12, 11;1;0;0;0;0;0;0;0;83;0;0;1;0;0;0;0;0;0;0;0;0;# 062 - Wizard Rod
10280;8;0;18;0;3, 5, 0;1;0;0;0;0;0;0;0;84;0;0;1;0;0;0;0;0;0;0;0;0;# 063 - Whale Whisker
2700;9;7;6;0;195, 2, 5;1;0;0;0;0;0;0;0;85;0;0;0;0;0;0;1;0;0;0;0;0;# 064 - Golem’s Flute
3800;9;2;7;0;20, 9, 14;1;0;0;0;0;0;0;0;86;0;0;0;0;0;0;1;0;0;0;0;0;# 065 - Lamia’s Flute
4500;9;0;10;0;10, 13, 4;1;0;0;0;0;0;0;0;87;0;0;0;0;0;0;1;0;0;0;0;0;# 066 - Fairy Flute
5700;9;3;13;0;3, 22, 23;1;0;0;0;0;0;0;0;88;0;0;0;0;0;0;1;0;0;0;0;0;# 067 - Hamelin
7000;9;0;14;0;6, 21, 10;1;0;0;0;0;0;0;0;89;0;0;0;0;0;0;1;0;0;0;0;0;# 068 - Siren’s Flute
8300;9;0;16;0;24, 10, 3;1;0;0;0;0;0;0;0;90;0;0;0;0;0;0;1;0;0;0;0;0;# 069 - Angel Flute
320;10;0;1;0;25, 0, 0;1;0;0;0;0;0;0;0;91;0;1;0;0;0;0;0;0;0;0;0;0;# 070 - Mage Staff
1100;10;9;2;0;26, 28, 0;1;0;0;0;0;0;0;0;92;0;1;0;0;0;0;0;0;0;0;0;0;# 071 - Flame Staff
980;10;5;2;0;30, 32, 0;1;0;0;0;0;0;0;0;93;0;1;0;0;0;0;0;0;0;0;0;0;# 072 - Ice Staff
1200;10;11;2;0;34, 37, 0;1;0;0;0;0;0;0;0;94;0;1;0;0;0;0;0;0;0;0;0;0;# 073 - Lightning Staff
2400;10;0;5;0;36, 38, 40;1;0;0;0;0;0;0;0;95;0;1;0;0;0;0;0;0;0;0;0;0;# 074 - Oak Staff
3200;10;2;6;0;41, 44, 42;1;0;0;0;0;0;0;0;96;0;1;0;0;0;0;0;0;0;0;0;0;# 075 - Cypress Pile
4500;10;0;7;155;27, 31, 35;1;0;0;0;0;0;0;0;97;0;1;0;0;0;0;0;0;0;0;0;0;# 076 - Octagon Rod
6000;10;0;8;0;46, 39, 0;1;0;0;0;0;0;0;0;98;0;1;0;0;0;0;0;0;0;0;0;0;# 077 - High Mage Staff
10000;10;0;9;0;48, 0, 0;1;0;0;0;0;0;0;0;99;0;1;0;0;0;0;0;0;0;0;0;0;# 078 - Mace of Zeus
1100;11;0;1;0;227, 0, 0;1;0;0;0;0;0;0;0;100;0;0;0;0;0;1;0;0;0;0;0;0;# 079 - Fork
3100;11;0;2;0;227, 0, 0;1;0;0;0;0;0;0;0;101;0;0;0;0;0;1;0;0;0;0;0;0;# 080 - Needle Fork
4700;11;0;3;0;227, 0, 0;1;0;0;0;0;0;0;0;102;0;0;0;0;0;1;0;0;0;0;0;0;# 081 - Mythril Fork
7400;11;2;4;0;227, 0, 0;1;0;0;0;0;0;0;0;103;0;0;0;0;0;1;0;0;0;0;0;0;# 082 - Silver Fork
10300;11;4;5;0;227, 0, 0;1;0;0;0;0;0;0;0;104;0;0;0;0;0;1;0;0;0;0;0;0;# 083 - Bistro Fork
13300;11;0;6;0;227, 0, 0;1;0;0;0;0;0;0;0;105;0;0;0;0;0;1;0;0;0;0;0;0;# 084 - Gastro Fork
200;12;0;0;0;0, 0, 0;1;0;0;0;0;0;0;0;18;0;0;0;0;0;0;0;0;0;0;0;0;# 085 - Pinwheel
500;12;0;0;0;0, 0, 0;1;0;0;0;0;0;0;0;19;0;0;0;0;0;0;0;0;0;0;0;0;# 086 - Rising Sun
3000;12;0;0;0;0, 0, 0;1;0;0;0;0;0;0;0;20;0;0;0;0;0;0;0;0;0;0;0;0;# 087 - Wing Edge
130;13;3;20;1;238, 0, 0;0;1;0;0;0;0;0;0;107;1;1;1;0;0;1;1;1;1;1;1;0;# 088 - Wrist
200;13;3;22;2;211, 29, 0;0;1;0;0;0;0;0;0;108;1;1;1;0;0;1;1;1;1;1;1;0;# 089 - Leather Wrist
250;13;3;24;3;215, 241, 0;0;1;0;0;0;0;0;0;109;1;1;1;0;0;1;1;1;1;1;1;0;# 090 - Glass Armlet
330;13;14;26;4;217, 0, 0;0;1;0;0;0;0;0;0;110;1;1;1;0;0;1;1;1;1;1;1;0;# 091 - Bone Wrist
500;13;7;28;5;206, 0, 0;0;1;0;0;0;0;0;0;111;1;1;1;0;0;1;1;1;1;1;1;0;# 092 - Mythril Armlet
1000;13;2;32;6;250, 14, 0;0;1;0;0;0;0;0;0;112;0;1;1;0;0;1;1;0;0;0;0;0;# 093 - Magic Armlet
1200;13;2;33;7;253, 217, 0;0;1;0;0;0;0;0;0;113;1;1;1;0;0;1;1;1;1;1;1;0;# 094 - Chimera Armlet
2000;13;7;34;8;211, 235, 0;0;1;0;0;0;0;0;0;114;1;1;1;0;0;1;1;1;1;1;1;0;# 095 - Egoist’s Armlet
3000;13;3;29;9;254, 208, 45;0;1;0;0;0;0;0;0;115;1;1;1;0;0;1;1;1;1;1;1;0;# 096 - N-Kai Armlet
3400;13;2;30;10;232, 227, 0;0;1;0;0;0;0;0;0;116;1;1;1;0;0;1;1;1;1;1;1;0;# 097 - Jade Armlet
50000;13;2;39;11;214, 0, 0;0;1;0;0;0;0;0;0;117;1;0;0;0;0;0;0;1;1;1;1;0;# 098 - Thief Gloves
4800;13;7;38;12;245, 117, 0;0;1;0;0;0;0;0;0;118;1;1;1;0;1;1;1;1;1;1;1;0;# 099 - Dragon Wrist
5100;13;1;42;13;201, 0, 0;0;1;0;0;0;0;0;0;119;1;1;1;0;0;1;1;1;1;1;1;0;# 100 - Power Wrist
8000;13;3;43;14;217, 220, 0;0;1;0;0;0;0;0;0;120;1;1;1;0;0;1;1;1;1;1;1;0;# 101 - Bracer
480;14;9;21;15;241, 0, 0;0;1;0;0;0;0;0;0;121;0;0;0;1;1;0;0;0;0;0;0;1;# 102 - Bronze Gloves
720;14;8;23;16;208, 0, 0;0;1;0;0;0;0;0;0;122;0;0;0;1;1;0;0;0;0;0;0;1;# 103 - Silver Gloves
980;14;8;25;17;212, 206, 0;0;1;0;0;0;0;0;0;123;0;0;0;1;1;0;0;0;0;0;0;1;# 104 - Mythril Gloves
1200;14;11;27;18;210, 217, 0;0;1;0;0;0;0;0;0;124;0;0;0;1;1;0;0;0;0;0;0;1;# 105 - Thunder Gloves
2000;14;8;31;19;236, 245, 0;0;1;0;0;0;0;0;0;125;0;0;0;1;1;0;0;0;0;0;0;1;# 106 - Diamond Gloves
2800;14;2;41;20;193, 228, 0;0;1;0;0;0;0;0;0;126;0;0;0;1;1;0;0;0;0;0;0;1;# 107 - Venetia Shield
6000;14;2;40;21;198, 0, 0;0;1;0;0;0;0;0;0;127;0;0;0;1;1;0;0;0;0;0;0;1;# 108 - Defense Gloves
2;14;2;36;22;227, 0, 0;0;1;0;0;0;0;0;0;128;0;0;0;1;1;0;0;0;0;0;0;1;# 109 - Genji Gloves
7000;14;2;35;23;148, 0, 0;0;1;0;0;0;0;0;0;129;0;0;0;1;0;0;0;0;0;0;0;1;# 110 - Aegis Gloves
8800;14;2;37;24;229, 0, 0;0;1;0;0;0;0;0;0;130;0;0;0;1;1;0;0;0;0;0;0;1;# 111 - Gauntlets
150;15;8;51;25;25, 0, 0;0;0;1;0;0;0;0;0;131;1;1;1;0;0;1;1;1;1;1;1;0;# 112 - Leather Hat
1500;15;8;0;26;0, 0, 0;0;0;1;0;0;0;0;0;132;1;1;1;1;1;1;1;1;1;1;1;1;# 113 - Straw Hat
200;15;8;53;27;242, 217, 0;0;0;1;0;0;0;0;0;133;1;1;1;0;0;1;1;0;1;1;1;0;# 114 - Feather Hat
260;15;8;55;28;12, 0, 0;0;0;1;0;0;0;0;0;134;1;1;1;0;0;1;1;0;1;1;1;0;# 115 - Steepled Hat
330;15;2;52;29;208, 0, 0;0;0;1;0;0;0;0;0;135;1;1;1;0;0;1;1;1;1;1;1;0;# 116 - Headgear
400;15;8;57;30;32, 0, 0;0;0;1;0;0;0;0;0;136;1;1;1;0;0;1;1;0;1;1;1;0;# 117 - Magus Hat
500;29;1;59;31;212, 240, 0;0;0;1;0;0;0;0;0;137;1;1;1;0;0;1;1;1;1;1;1;0;# 118 - Bandana
600;15;12;61;32;243, 26, 0;0;0;1;0;0;0;0;0;138;0;1;1;0;0;1;1;0;0;0;0;0;# 119 - Mage’s Hat
800;29;4;64;33;250, 17, 20;0;0;1;0;0;0;0;0;139;0;0;1;0;1;1;1;0;1;1;1;0;# 120 - Lamia’s Tiara
1000;15;8;63;34;228, 242, 208;0;0;1;0;0;0;0;0;140;1;1;1;0;0;1;1;1;1;1;1;0;# 121 - Ritual Hat
1200;29;12;65;35;218, 217, 0;0;0;1;0;0;0;0;0;141;1;1;1;0;0;1;1;1;1;1;1;0;# 122 - Twist Headband
1500;29;14;66;36;198, 241, 0;0;0;1;0;0;0;0;0;142;1;1;1;0;0;1;1;1;1;1;1;0;# 123 - Mantra Band
1800;15;8;68;37;227, 245, 0;0;0;1;0;0;0;0;0;143;1;1;1;0;0;1;1;1;1;1;1;0;# 124 - Dark Hat
2180;15;4;69;38;236, 250, 0;0;0;1;0;0;0;0;0;144;1;1;1;0;0;1;1;1;1;1;1;0;# 125 - Green Beret
2550;15;7;72;39;201, 249, 43;0;0;1;0;0;0;0;0;145;1;1;1;0;0;1;1;0;1;1;1;0;# 126 - Black Hood
3000;15;1;71;40;204, 229, 0;0;0;1;0;0;0;0;0;146;1;1;1;0;0;1;1;1;1;1;1;0;# 127 - Red Hat
3700;29;3;74;41;195, 243, 0;0;0;1;0;0;0;0;0;147;1;1;1;0;0;1;1;1;1;1;1;0;# 128 - Golden Hairpin
4400;29;2;76;42;212, 246, 0;0;0;1;0;0;0;0;0;148;1;1;1;0;0;1;1;1;1;1;1;0;# 129 - Coronet
5200;15;2;78;43;231, 211, 0;0;0;1;0;0;0;0;0;149;1;1;1;0;0;0;1;1;1;1;1;0;# 130 - Flash Hat
6100;15;8;75;44;198, 218, 0;0;0;1;0;0;0;0;0;150;1;1;1;0;0;1;1;1;1;1;1;0;# 131 - Adaman Hat
7100;15;8;79;45;203, 107, 253;0;0;1;0;0;0;0;0;151;1;0;0;0;0;0;0;0;1;1;1;0;# 132 - Thief Hat
8300;15;2;80;46;240, 232, 0;0;0;1;0;0;0;0;0;152;0;1;1;0;0;1;1;0;0;0;0;0;# 133 - Holy Miter
12000;15;9;83;47;221, 249, 0;0;0;1;0;0;0;0;0;153;1;1;1;0;0;1;1;1;1;1;1;0;# 134 - Golden Skullcap
13000;29;10;84;48;245, 250, 0;0;0;1;0;0;0;0;0;154;1;1;1;0;0;1;1;1;1;1;1;0;# 135 - Circlet
250;16;8;54;49;142, 0, 0;0;0;1;0;0;0;0;0;155;0;0;0;1;1;0;0;0;0;0;0;1;# 136 - Rubber Helm
330;16;9;56;50;206, 0, 0;0;0;1;0;0;0;0;0;156;0;0;0;1;1;0;0;0;0;0;0;1;# 137 - Bronze Helm
450;16;8;58;51;242, 235, 0;0;0;1;0;0;0;0;0;157;0;0;0;1;1;0;0;0;0;0;0;1;# 138 - Iron Helm
600;16;8;60;52;233, 209, 0;0;0;1;0;0;0;0;0;158;0;0;0;1;1;0;0;0;0;0;0;1;# 139 - Barbut
1000;16;8;62;53;240, 241, 0;0;0;1;0;0;0;0;0;159;0;0;0;1;1;0;0;0;0;0;0;1;# 140 - Mythril Helm
1800;16;1;67;54;146, 118, 250;0;0;1;0;0;0;0;0;160;0;0;0;1;1;0;0;0;0;0;0;1;# 141 - Gold Helm
2200;16;8;70;55;204, 210, 0;0;0;1;0;0;0;0;0;161;0;0;0;1;1;0;0;0;0;0;0;1;# 142 - Cross Helm
3000;16;12;73;56;201, 240, 0;0;0;1;0;0;0;0;0;162;0;0;0;1;1;0;0;0;0;0;0;1;# 143 - Diamond Helm
4600;16;8;77;57;244, 207, 0;0;0;1;0;0;0;0;0;163;0;0;0;1;1;0;0;0;0;0;0;1;# 144 - Platinum Helm
7120;16;8;82;58;231, 0, 0;0;0;1;0;0;0;0;0;164;0;0;0;1;1;0;0;0;0;0;0;1;# 145 - Kaiser Helm
2;16;8;81;59;198, 0, 0;0;0;1;0;0;0;0;0;165;0;0;0;1;1;0;0;0;0;0;0;1;# 146 - Genji Helmet
14000;16;3;85;60;227, 0, 0;0;0;1;0;0;0;0;0;166;0;0;0;1;1;0;0;0;0;0;0;1;# 147 - Grand Helm
19000;18;8;0;61;0, 0, 0;0;0;0;1;0;0;0;0;167;1;1;1;1;1;1;1;1;1;1;1;1;# 148 - Aloha T-shirt
270;18;0;102;62;230, 0, 0;0;0;0;1;0;0;0;0;168;1;1;1;0;0;1;1;1;1;1;1;0;# 149 - Leather Shirt
400;18;8;103;63;1, 33, 0;0;0;0;1;0;0;0;0;169;1;1;1;0;0;1;1;0;1;1;1;0;# 150 - Silk Shirt
530;18;0;104;64;125, 0, 0;0;0;0;1;0;0;0;0;170;1;0;0;0;0;0;0;1;1;1;1;0;# 151 - Leather Plate
670;18;9;105;65;245, 0, 0;0;0;0;1;0;0;0;0;171;1;1;1;0;0;1;1;1;1;1;1;0;# 152 - Bronze Vest
810;18;8;107;66;210, 0, 0;0;0;0;1;0;0;0;0;172;1;0;0;0;0;0;0;1;1;1;1;0;# 153 - Chain Plate
1180;18;8;110;67;248, 0, 0;0;0;0;1;0;0;0;0;173;1;1;1;0;0;1;1;1;1;1;1;0;# 154 - Mythril Vest
1600;18;8;112;68;207, 205, 0;0;0;0;1;0;0;0;0;174;1;1;1;0;0;1;1;1;1;1;1;0;# 155 - Adaman Vest
1850;18;6;114;69;240, 199, 0;0;0;0;1;0;0;0;0;175;0;1;1;0;0;1;1;0;0;0;0;0;# 156 - Magician Cloak
2900;18;8;117;70;249, 241, 253;0;0;0;1;0;0;0;0;176;1;1;1;0;0;1;1;1;1;1;1;0;# 157 - Survival Vest
4300;18;8;120;71;236, 246, 0;0;0;0;1;0;0;0;0;177;1;0;0;0;0;0;0;1;1;1;1;0;# 158 - Brigandine
5000;18;10;122;72;202, 197, 0;0;0;0;1;0;0;0;0;178;1;1;1;0;0;1;1;1;1;1;1;0;# 159 - Judo Uniform
7200;18;10;125;73;207, 218, 228;0;0;0;1;0;0;0;0;179;1;1;1;0;0;1;1;1;1;1;1;0;# 160 - Power Vest
8700;18;0;124;74;240, 227, 39;0;0;0;1;0;0;0;0;180;1;1;1;0;0;1;1;1;1;1;1;0;# 161 - Gaia Gear
10250;18;8;127;75;210, 248, 249;0;0;0;1;0;0;0;0;181;1;1;1;0;0;1;1;1;1;1;1;0;# 162 - Demon’s Vest
12200;18;8;129;76;244, 227, 0;0;0;0;1;0;0;0;0;182;0;0;1;0;1;0;1;0;0;0;0;1;# 163 - Minerva’s Plate
14000;18;14;133;77;233, 249, 231;0;0;0;1;0;0;0;0;183;1;0;0;0;0;0;0;1;1;1;1;0;# 164 - Ninja Gear
16300;18;14;137;78;250, 245, 0;0;0;0;1;0;0;0;0;184;1;1;1;0;0;1;1;1;1;1;1;0;# 165 - Dark Gear
20000;18;11;140;79;231, 10, 0;0;0;0;1;0;0;0;0;185;0;0;1;0;1;0;1;0;0;0;0;1;# 166 - Rubber Suit
22500;18;8;141;80;244, 195, 0;0;0;0;1;0;0;0;0;186;1;0;0;0;0;0;0;1;1;1;1;0;# 167 - Brave Suit
4000;17;2;108;81;219, 11, 0;0;0;0;1;0;0;0;0;187;0;1;1;0;0;1;1;0;0;0;0;0;# 168 - Cotton Robe
5800;17;2;115;82;236, 243, 0;0;0;0;1;0;0;0;0;188;0;1;1;0;0;1;1;0;0;0;0;0;# 169 - Silk Robe
8000;17;8;119;83;248, 199, 0;0;0;0;1;0;0;0;0;189;0;1;1;0;0;1;1;0;0;0;0;0;# 170 - Magician Robe
16000;17;8;131;84;241, 232, 195;0;0;0;1;0;0;0;0;190;0;0;0;0;0;1;0;0;0;0;0;0;# 171 - Glutton’s Robe
29000;17;3;134;85;243, 248, 24;0;0;0;1;0;0;0;0;191;0;0;1;0;0;0;1;0;0;0;0;0;# 172 - White Robe
29000;17;14;136;86;200, 47, 223;0;0;0;1;0;0;0;0;192;0;1;0;0;0;1;0;0;0;0;0;0;# 173 - Black Robe
40000;17;1;132;87;226, 195, 6;0;0;0;1;0;0;0;0;193;0;1;1;0;0;1;1;0;0;0;0;0;# 174 - Light Robe
52000;17;8;139;88;222, 225, 0;0;0;0;1;0;0;0;0;194;0;1;1;0;0;1;1;0;0;0;0;0;# 175 - Robe of Lords
20;19;8;100;89;0, 0, 0;0;0;0;1;0;0;0;0;195;0;0;0;1;0;0;0;0;0;0;0;0;# 176 - Tin Armor
650;19;11;106;90;205, 0, 0;0;0;0;1;0;0;0;0;196;0;0;0;1;1;0;0;0;0;0;0;1;# 177 - Bronze Armor
800;19;8;109;91;229, 0, 0;0;0;0;1;0;0;0;0;197;0;0;0;1;1;0;0;0;0;0;0;1;# 178 - Linen Cuirass
1200;19;2;111;92;197, 205, 0;0;0;0;1;0;0;0;0;198;0;0;0;1;1;0;0;0;0;0;0;1;# 179 - Chain Mail
1830;19;2;113;93;245, 229, 0;0;0;0;1;0;0;0;0;199;0;0;0;1;1;0;0;0;0;0;0;1;# 180 - Mythril Armor
