#! IncludeHitSfx
# This file contains a set of game weapons.
# You must set at least 88 different items.
# -----------------------------------------------
# Comment;Id;Category;StatusIndex;Model;ScriptId;Power;Elements;Rate;Offset1;Offset2;HitSfx
# ;Int32;Byte;Int32;Byte;Int32;Int32;Byte;Int32;Int16;Int16;Byte
# -----------------------------------------------
Mythril Rod;58;5;0;GEO_WEP_B1_069;1;14;0;0;-1;177;58
Stardust Rod;59;5;0;GEO_WEP_B1_070;1;16;0;0;-1;177;59
Healing Rod;60;5;0;GEO_WEP_B1_071;1;23;0;0;-1;177;60
Asura’s Rod;61;5;0;GEO_WEP_B1_072;1;27;64;0;0;193;61
Wizard Rod;62;5;0;GEO_WEP_B1_073;1;31;0;0;0;172;62
Whale Whisker;63;5;0;GEO_WEP_B1_074;1;36;0;0;0;222;63
Golem’s Flute;64;5;0;GEO_WEP_B1_075;1;17;0;0;0;118;64
Lamia’s Flute;65;5;0;GEO_WEP_B1_076;1;21;0;0;0;118;65
Fairy Flute;66;5;0;GEO_WEP_B1_077;1;24;0;0;15;194;66
Hamelin;67;5;0;GEO_WEP_B1_078;1;27;0;0;-50;157;67
Siren’s Flute;68;5;0;GEO_WEP_B1_079;1;30;0;0;0;118;68
Angel Flute;69;5;0;GEO_WEP_B1_080;1;33;0;0;61;170;69
Mage Staff;70;5;0;GEO_WEP_B1_081;1;12;0;0;-12;175;70
Flame Staff;71;5;0;GEO_WEP_B1_082;1;16;1;0;-12;175;71
Ice Staff;72;5;0;GEO_WEP_B1_083;1;16;2;0;-12;175;72
Lightning Staff;73;5;0;GEO_WEP_B1_084;1;16;4;0;-12;175;73
Oak Staff;74;5;18;GEO_WEP_B1_085;1;23;0;20;-24;171;74
Cypress Pile;75;5;12;GEO_WEP_B1_086;1;27;0;20;0;153;75
Octagon Rod;76;5;31;GEO_WEP_B1_087;1;29;0;10;0;184;76
High Mage Staff;77;5;9;GEO_WEP_B1_088;1;32;0;15;-1;200;77
Mace of Zeus;78;5;10;GEO_WEP_B1_089;1;35;0;15;0;166;78
Fork;79;5;0;GEO_WEP_B1_090;5;21;0;0;0;226;79
Needle Fork;80;5;22;GEO_WEP_B1_091;5;34;0;10;0;226;80
Mythril Fork;81;5;0;GEO_WEP_B1_092;5;42;0;0;0;226;81
Silver Fork;82;5;18;GEO_WEP_B1_093;5;53;0;15;0;226;82
Bistro Fork;83;13;17;GEO_WEP_B1_094;5;68;0;20;-20;227;83
Gastro Fork;84;13;19;GEO_WEP_B1_095;5;77;0;10;-5;239;84
Pinwheel;85;6;0;<null>;0;25;0;0;0;0;85
Rising Sun;86;6;0;<null>;0;36;0;0;0;0;86
Wing Edge;87;6;0;<null>;0;64;0;0;0;0;87
